Genes	ENTREZ_ID	Genes
ANKRD61	100310846	ANKRD61
SPDYE2B	100310812	SPDYE2B
PET117	100303755	PET117
TSNAX-DISC1	100303453	TSNAX-DISC1
TMED7-TICAM2	100302736	TMED7-TICAM2
GPR75-ASB3	100302652	GPR75-ASB3
ZNF587B	100293516	ZNF587B
ZNF783	100289678	ZNF783
ZNF605	100289635	ZNF605
DEFB4B	100289462	DEFB4B
TSPY10	100289087	TSPY10
FRG2C	100288801	FRG2C
TMEM239	100288797	TMEM239
DUX4	100288687	DUX4
USP17L15	100288520	USP17L15
MTRNR2L7	100288485	MTRNR2L7
ERVMER34-1	100288413	ERVMER34-1
NPIPA5	100288332	NPIPA5
KRTAP21-3	100288323	KRTAP21-3
KRTAP22-2	100288287	KRTAP22-2
SDR42E2	100288072	SDR42E2
TIMM23	100287932	TIMM23
TTC34	100287898	TTC34
ANKRD66	100287718	ANKRD66
USP17L22	100287513	USP17L22
SMKR1	100287482	SMKR1
USP17L21	100287478	USP17L21
USP17L20	100287441	USP17L20
USP17L19	100287404	USP17L19
USP17L18	100287364	USP17L18
USP17L17	100287327	USP17L17
MANSC4	100287284	MANSC4
USP17L13	100287238	USP17L13
ZNF729	100287226	ZNF729
USP17L12	100287205	USP17L12
USP17L11	100287178	USP17L11
USP17L10	100287144	USP17L10
FAM90A26	100287045	FAM90A26
CMC4	100272147	CMC4
RASA4B	100271927	RASA4B
MEF2B	100271849	MEF2B
ERVV-2	100271846	ERVV-2
ARHGEF33	100271715	ARHGEF33
C2CD4D	100191040	C2CD4D
C5orf52	100190949	C5orf52
TOMM6	100188893	TOMM6
HBD	100187828	HBD
ERICH4	100170765	ERICH4
SRRM5	100170229	SRRM5
PATE3	100169851	PATE3
KRTAP20-4	100151643	KRTAP20-4
KLLN	100144748	KLLN
CTAGE8	100142659	CTAGE8
C17orf99	100141515	C17orf99
PLA2G4B	100137049	PLA2G4B
JMJD7	100137047	JMJD7
TEN1	100134934	TEN1
KCNJ18	100134444	KCNJ18
CD24	100133941	CD24
PRR23D2	100133251	PRR23D2
FAM25G	100133093	FAM25G
CXorf49B	100132994	CXorf49B
SMIM9	100132963	SMIM9
FAM27C	100132948	FAM27C
GOLGA8F	100132565	GOLGA8F
KRTAP4-7	100132476	KRTAP4-7
CLDN24	100132463	CLDN24
NBPF10	100132406	NBPF10
GAGE12D	100132399	GAGE12D
ZNF705B	100132396	ZNF705B
KRTAP4-9	100132386	KRTAP4-9
NPIPB5	100132247	NPIPB5
FOXO6	100132074	FOXO6
ZNF705G	100131980	ZNF705G
KRTAP25-1	100131902	KRTAP25-1
FAM196B	100131897	FAM196B
ZNF717	100131827	ZNF717
PET100	100131801	PET100
ARMCX4	100131755	ARMCX4
PRR23D1	100131608	PRR23D1
CD300LD	100131439	CD300LD
SP9	100131390	SP9
C11orf91	100131378	C11orf91
ANKRD63	100131244	ANKRD63
TSTD1	100131187	TSTD1
BSPH1	100131137	BSPH1
ZNF316	100131017	ZNF316
SYCE1L	100130958	SYCE1L
SMIM6	100130933	SMIM6
SBK3	100130827	SBK3
EFCAB10	100130771	EFCAB10
LRRC69	100130742	LRRC69
LRRC70	100130733	LRRC70
PRR32	100130613	PRR32
TMEM221	100130519	TMEM221
CXorf49	100130361	CXorf49
TMEM262	100130348	TMEM262
C17orf107	100130311	C17orf107
CCDC166	100130274	CCDC166
PP2672	100130249	PP2672
HSFX2	100130086	HSFX2
ZNF737	100129842	ZNF737
CCDC152	100129792	CCDC152
IZUMO3	100129669	IZUMO3
TCF24	100129654	TCF24
FAM47E	100129583	FAM47E
ZNF730	100129543	ZNF730
MKRN2OS	100129480	MKRN2OS
C9orf92	100129385	C9orf92
TDRD15	100129278	TDRD15
C1orf68	100129271	C1orf68
KHDC1L	100129128	KHDC1L
ZBTB42	100128927	ZBTB42
OST4	100128731	OST4
C19orf71	100128569	C19orf71
CTAGE4	100128553	CTAGE4
TRAPPC3L	100128327	TRAPPC3L
FAM229A	100128071	FAM229A
C8orf88	100127983	C8orf88
KIAA1024L	100127206	KIAA1024L
GJE1	100126572	GJE1
ZGLP1	100125288	ZGLP1
TEC	100124696	TEC
TMEM170B	100113407	TMEM170B
ZSCAN30	100101467	ZSCAN30
POM121C	100101267	POM121C
SIGLEC14	100049587	SIGLEC14
TLX1NB	100038246	TLX1NB
DDTL	100037417	DDTL
GAGE12F	100008586	GAGE12F
UQCC3	790955	UQCC3
TVP23A	780776	TVP23A
PSAPL1	768239	PSAPL1
RELL1	768211	RELL1
PRCD	768206	PRCD
LUZP6	767558	LUZP6
SYS1-DBNDD2	767557	SYS1-DBNDD2
CEMP1	752014	CEMP1
RFX8	731220	RFX8
KRTAP2-3	730755	KRTAP2-3
ZNF735	730291	ZNF735
PPIAL4E	730262	PPIAL4E
TMEM229A	730130	TMEM229A
FAM166B	730112	FAM166B
ZNF726	730087	ZNF726
ZNF814	730051	ZNF814
SEC14L6	730005	SEC14L6
SHISA9	729993	SHISA9
RFPL4AL1	729974	RFPL4AL1
MORN2	729967	MORN2
SHISA7	729956	SHISA7
ISPD	729920	ISPD
RGPD2	729857	RGPD2
FAM160A1	729830	FAM160A1
CEACAM18	729767	CEACAM18
OR4F29	729759	OR4F29
ZNF878	729747	ZNF878
CCDC175	729665	CCDC175
SPDYE6	729597	SPDYE6
FAM231C	729587	FAM231C
DIRC3	729582	DIRC3
RGPD6	729540	RGPD6
FAM72A	729533	FAM72A
PRAMEF14	729528	PRAMEF14
TMEM242	729515	TMEM242
RAD51AP2	729475	RAD51AP2
GAGE2A	729447	GAGE2A
GAGE12H	729442	GAGE12H
CCDC61	729440	CCDC61
GAGE12E	729431	GAGE12E
GAGE12B	729428	GAGE12B
GAGE12C	729422	GAGE12C
LMO7DN	729420	LMO7DN
GAGE12J	729396	GAGE12J
PLIN4	729359	PLIN4
TP53TG3B	729355	TP53TG3B
OC90	729330	OC90
ZNF286B	729288	ZNF286B
TP53TG3D	729264	TP53TG3D
NUTM2B	729262	NUTM2B
PRR20E	729250	PRR20E
PRR20D	729246	PRR20D
PRR20C	729240	PRR20C
SFTPA2	729238	SFTPA2
PRR20B	729233	PRR20B
CCR2	729230	CCR2
SPACA5B	729201	SPACA5B
AGAP5	729092	AGAP5
FAM198A	729085	FAM198A
SLC15A5	729025	SLC15A5
RPEL1	729020	RPEL1
ZNF705D	728957	ZNF705D
PPIAL4F	728945	PPIAL4F
ZNF736	728927	ZNF736
CT45A2	728911	CT45A2
NPIPB11	728888	NPIPB11
FAM182B	728882	FAM182B
C12orf71	728858	C12orf71
NBPF8	728841	NBPF8
FAM72D	728833	FAM72D
ANKDD1B	728780	ANKDD1B
ANKRD20A4	728747	ANKRD20A4
NPIPB6	728741	NPIPB6
NPIPB8	728734	NPIPB8
SPANXA2	728712	SPANXA2
EIF3CL	728689	EIF3CL
SLC35E2B	728661	SLC35E2B
DMRTC1B	728656	DMRTC1B
CDK11A	728642	CDK11A
CCDC30	728621	CCDC30
DCDC2C	728597	DCDC2C
CCDC169	728591	CCDC169
MS4A18	728588	MS4A18
CNTNAP3B	728577	CNTNAP3B
C12orf73	728568	C12orf73
GOLGA8H	728498	GOLGA8H
SERF1B	728492	SERF1B
DNLZ	728489	DNLZ
METTL24	728464	METTL24
OPN1MW2	728458	OPN1MW2
GGT2	728441	GGT2
USP17L30	728419	USP17L30
USP17L29	728405	USP17L29
TSPY8	728403	TSPY8
USP17L28	728400	USP17L28
TSPY4	728395	TSPY4
USP17L27	728393	USP17L27
USP17L5	728386	USP17L5
USP17L26	728379	USP17L26
POTEF	728378	POTEF
USP17L25	728373	USP17L25
USP17L24	728369	USP17L24
OVOL3	728361	OVOL3
DEFA1B	728358	DEFA1B
NXF2B	728343	NXF2B
GTF2H2C	728340	GTF2H2C
KRTAP9-1	728318	KRTAP9-1
KRTAP19-8	728299	KRTAP19-8
D2HGDH	728294	D2HGDH
KRTAP2-2	728279	KRTAP2-2
CLEC19A	728276	CLEC19A
MAGEA9B	728269	MAGEA9B
KRTAP1-4	728255	KRTAP1-4
MAGED4	728239	MAGED4
TMEM191B	728229	TMEM191B
GGTLC3	728226	GGTLC3
KRTAP4-8	728224	KRTAP4-8
FAM155A	728215	FAM155A
RSPH10B2	728194	RSPH10B2
TSPY3	728137	TSPY3
NUTM2D	728130	NUTM2D
NUTM2A	728118	NUTM2A
ZBTB8B	728116	ZBTB8B
ANXA8L1	728113	ANXA8L1
CT47A1	728096	CT47A1
CT47A2	728090	CT47A2
CT47A3	728082	CT47A3
CT47A4	728075	CT47A4
CT47A5	728072	CT47A5
CT47A6	728062	CT47A6
CT47A8	728049	CT47A8
GOLGA8O	728047	GOLGA8O
CT47A9	728042	CT47A9
CT47A10	728036	CT47A10
